Datum;Riksbankscertifikat (mdkr);Reserver (mdkr);Räntefri inlåning (mdkr);Finjusterade transaktioner (mdkr)
2018-12-18;353.3;0.2;;56.588
2019-01-08;390.8;0.3;;104.961
2019-01-15;443.6;0.2;;69.081
2019-01-22;413.0;0.3;;49.409
2019-01-29;420.3;0.2;;43.825
2019-02-05;455.0;0.3;;10.376
2019-02-12;441.0;0.3;;24.944
2019-02-19;378.7;0.3;;88.426
2019-02-26;401.7;0.3;;67.227
2019-03-05;408.2;0.3;;60.853
2019-03-12;409.3;0.3;;10.354
2019-03-19;411.5;0.3;;10.09
2019-03-26;412.2;0.3;;10.09
2019-04-02;319.0;0.3;;10.166
2019-04-09;333.0;0.2;;104.28
2019-04-16;377.55;0.2;;91.039
2019-04-23;355.6;0.2;;46.111
2019-05-07;397.4;0.2;;69.873
2019-05-14;419.0;0.2;;10.414
2019-05-21;420.0;0.2;;10.152
2019-05-28;403.5;0.3;;27.292
2019-06-04;362.275;0.3;;60.626
2019-06-11;389.1;0.3;;33.624
2019-06-18;374.5;0.3;;33.624
2019-06-25;413.5;0.4;;48.764
2019-07-02;411.5;0.3;;10.109
2019-07-09;379.2;0.3;;15.889
2019-07-16;368.301;0.3;;44.068
2019-07-23;383.35;0.3;;54.931
2019-07-30;387.75;0.3;;35.076
2019-08-06;369.35;0.3;;53.849
2019-08-13;413.0;0.3;;10.495
2019-08-20;401.9;0.3;;22.149
2019-08-27;414.5;0.3;;10.549
2019-09-03;416.8;0.3;;10.549
2019-09-10;360.0;0.3;;10.624
2019-09-17;390.1;0.3;;67.855
2019-09-24;415.8;0.4;;39.915
2019-10-01;420.7;6.0;;22.029
2019-10-08;387.0;0.4;;
2019-10-15;389.0;46.8;;
2019-10-22;380.5;54.9;;
2019-10-29;380.0;54.9;;
2019-11-12;380.2;55.0;;
2019-11-19;381.1;54.8;;
2019-11-26;378.5;54.8;;
2019-12-03;379.5;58.5;;
2019-12-17;334.9;56.0;;
2020-01-07;362.4;122.1;;
2020-01-21;364.0;75.2;;
2020-01-28;365.8;74.8;;
2020-02-11;368.7;75.0;;
2020-02-18;369.1;75.0;;
2020-02-25;369.8;74.5;;
2020-03-03;369.5;74.4;;
2020-03-10;346.2;75.1;;
2020-03-17;347.0;104.8;;
2020-03-24;370.45;144.9;;
2020-03-31;382.2;211.2;;
2020-04-07;383.5;251.2;;
2020-04-14;382.0;284.5;;
2020-04-21;381.5;294.3;;
2020-04-28;380.0;308.6;;
2020-05-05;380.0;338.1;;
2020-05-12;380.0;347.3;;
2020-05-19;380.0;361.8;;
2020-05-26;380.0;361.8;;
2020-06-02;380.0;362.0;;
2020-06-09;380.0;366.5;;
2020-06-16;380.0;379.4;;
2020-06-30;380.0;374.4;;
2020-07-07;380.0;374.8;;
2020-07-14;380.0;381.2;;
2020-07-21;380.0;384.0;;
2020-07-28;380.0;390.0;;
2020-08-04;380.0;393.7;;
2020-08-11;380.0;402.3;;
2020-08-18;380.0;402.3;;
2020-08-25;380.0;410.7;;
2020-09-01;380.0;424.6;;
2020-09-08;380.0;432.0;;
2020-09-15;380.0;440.5;;
2020-09-22;380.0;447.5;;
2020-09-29;380.0;454.6;;
2020-10-06;380.0;469.1;;
2020-10-13;380.0;479.6;;
2020-10-14;363.4;479.6;;
2020-10-20;380.0;489.0;;
2020-10-27;380.0;497.8;;
2020-11-03;380.0;497.8;;
2020-12-15;380.0;481.1;;
2021-02-09;380.0;533.7;;
2021-03-16;380.0;604.7;;
2021-03-23;380.0;616.3;;
2021-03-30;380.0;538.7;;
2021-04-06;380.0;518.7;;
2021-04-13;380.0;515.5;;
2021-04-20;380.0;527.1;;
2021-04-27;380.0;537.8;;
2021-05-04;460.0;462.4;;
