Anbudsdag;Instrument;Lån;ISIN;Kupong (%);Förfallodag;Erbjuden volym (Mkr);Budvolym (Mkr);Tilldelad volym (Mkr);Antal bud;Antal godkända bud;Genomsnittlig ränta (%);Lägsta ränta (%);Högst accepterade ränta (%);Tilldelning till högsta ränta (%)
2023-04-04;SGB;1053;SE0002829192;3.5;2039-03-30;750 +/- 375;1005;375;15;8;2.355;2.31;2.407;13.33
2023-04-04;SGB;1056;SE0004517290;2.25;2032-06-01;750 +/- 375;3000;1125;22;9;2.254;2.238;2.259;90.71
2023-04-21;SGB;1056;SE0004517290;2.25;2032-06-01;750 +/- 750;3910;750;23;8;2.482;2.469;2.49;49.06
2023-04-21;SGB;1061;SE0011281922;0.75;2029-11-12;750 +/- 750;4101;750;28;8;2.565;2.544;2.57;96.77
2023-05-05;SGB;1060;SE0009496367;0.75;2028-05-12;750 +/- 750;3250;750;8;1;2.349;2.349;2.349;100.0
2023-05-05;SGB;1062;SE0013935319;0.125;2031-05-12;750 +/- 750;3796;750;26;13;2.277;2.264;2.283;96.67
2023-05-17;SGB;1053;SE0002829192;3.5;2039-03-30;750 +/- 750;4531;750;48;2;2.41;2.407;2.411;84.0
2023-05-17;SGB;1061;SE0011281922;0.75;2029-11-12;750 +/- 750;5772;750;35;5;2.282;2.28;2.294;2.4
2023-06-02;SGB;1053;SE0002829192;3.5;2039-03-30;750 +/- 750;2035;750;33;20;2.462;2.44;2.483;26.67
2023-06-02;SGB;1062;SE0013935319;0.125;2031-05-12;750 +/- 750;3977;750;22;7;2.303;2.29;2.313;46.4
2023-06-16;SGB;1060;SE0009496367;0.75;2028-05-12;750 +/- 750;2445;750;11;8;2.721;2.707;2.73;38.57
2023-06-16;SGB;1061;SE0011281922;0.75;2029-11-12;750 +/- 750;2350;750;18;7;2.62;2.609;2.624;75.0
2023-09-08;SGB;1053;SE0002829192;3.5;2039-03-30;500 +/- 500;1955;500;31;10;2.944;2.934;2.949;60.0
2023-09-08;SGB;1061;SE0011281922;0.75;2029-11-12;800 +/- 800;2216;800;20;11;2.876;2.864;2.883;56.0
2023-09-08;SGB;1062;SE0013935319;0.125;2031-05-12;800 +/- 800;3205;800;24;9;2.833;2.82;2.846;50.0
2023-09-22;SGB;1053;SE0002829192;3.5;2039-03-30;500 +/- 500;2385;500;21;4;2.937;2.928;2.939;70.0
2023-09-22;SGB;1056;SE0004517290;2.25;2032-06-01;800 +/- 800;3400;800;25;3;2.87;2.868;2.87;100.0
2023-09-22;SGB;1060;SE0009496367;0.75;2028-05-12;800 +/- 800;2500;800;9;1;3.037;3.037;3.037;100.0
2023-10-06;SGB;1053;SE0002829192;3.5;2039-03-30;900 +/- 900;2455;900;27;16;3.128;3.12;3.145;4.71
2023-10-06;SGB;1061;SE0011281922;0.75;2029-11-12;1000 +/- 1000;4346;1000;22;5;3.008;3.005;3.01;66.47
2023-10-06;SGB;1063;SE0015193313;0.5;2045-11-24;200 +/- 200;750;200;14;8;3.109;3.09;3.12;22.22
2023-10-20;SGB;1056;SE0004517290;2.25;2032-06-01;300 +/- 300;2230;300;16;3;3.026;3.02;3.028;66.67
2023-10-20;SGB;1061;SE0011281922;0.75;2029-11-12;900 +/- 900;2900;900;15;8;3.033;3.03;3.037;15.38
2023-10-20;SGB;1062;SE0013935319;0.125;2031-05-12;900 +/- 900;3550;900;11;1;3.014;3.014;3.014;100.0
2023-11-02;SGB;1056;SE0004517290;2.25;2032-06-01;900 +/- 900;4350;900;22;4;2.867;2.86;2.869;68.42
2023-11-02;SGB;1062;SE0013935319;0.125;2031-05-12;900 +/- 900;3650;900;22;6;2.848;2.844;2.853;75.0
2023-11-02;SGB;1063;SE0015193313;0.5;2045-11-24;300 +/- 300;700;300;10;4;3.07;3.06;3.075;60.0
2023-11-17;SGB;1061;SE0011281922;0.75;2029-11-12;1500 +/- 1500;3800;1500;15;10;2.618;2.6;2.627;40.0
2023-11-17;SGB;1062;SE0013935319;0.125;2031-05-12;600 +/- 600;2350;600;12;8;2.584;2.57;2.598;50.0
2023-12-01;SGB;1053;SE0002829192;3.5;2039-03-30;1100 +/- 1100;4560;1100;39;10;2.746;2.739;2.754;66.67
2023-12-01;SGB;1060;SE0009496367;0.75;2028-05-12;1000 +/- 1000;3925;1000;9;2;2.554;2.554;2.554;50.0
2023-12-15;SGB;1053;SE0002829192;3.5;2039-03-30;700 +/- 700;3965;700;37;12;2.301;2.287;2.305;69.52
2023-12-15;SGB;1061;SE0011281922;0.75;2029-11-12;700 +/- 700;3380;700;14;3;2.098;2.09;2.1;91.67
2023-12-15;SGB;1062;SE0013935319;0.125;2031-05-12;700 +/- 700;3060;700;16;8;2.083;2.075;2.088;3.85
2024-01-12;SGB;1053;SE0002829192;3.5;2039-03-30;500 +/- 500;3066;500;24;6;2.313;2.298;2.318;100.0
2024-01-12;SGB;1056;SE0004517290;2.25;2032-06-01;500 +/- 500;3970;500;18;6;2.12;2.113;2.124;31.25
2024-01-12;SGB;1061;SE0011281922;0.75;2029-11-12;1100 +/- 1100;6231;1100;18;1;2.096;2.096;2.096;100.0
2024-01-26;SGB;1056;SE0004517290;2.25;2032-06-01;700 +/- 700;3700;700;13;6;2.201;2.193;2.214;75.0
2024-01-26;SGB;1060;SE0009496367;0.75;2028-05-12;700 +/- 700;2000;700;4;2;2.245;2.238;2.254;42.86
2024-01-26;SGB;1062;SE0013935319;0.125;2031-05-12;700 +/- 700;2650;700;7;1;2.193;2.193;2.193;100.0
2024-02-09;SGB;1053;SE0002829192;3.5;2039-03-30;900 +/- 900;4069;900;22;7;2.543;2.514;2.548;71.05
2024-02-09;SGB;1060;SE0009496367;0.75;2028-05-12;900 +/- 900;3400;900;11;4;2.42;2.418;2.423;100.0
2024-02-09;SGB;1062;SE0013935319;0.125;2031-05-12;900 +/- 900;3400;900;10;1;2.344;2.344;2.344;100.0
2024-02-23;SGB;1056;SE0004517290;2.25;2032-06-01;1200 +/- 1200;4170;1200;15;8;2.47;2.46;2.478;25.0
2024-02-23;SGB;1061;SE0011281922;0.75;2029-11-12;1200 +/- 1200;3750;1200;13;7;2.498;2.489;2.513;60.0
