Datum;Lån;Bid-to-cover;Budvolym (Mkr);Tilldelad volym (Mkr);Löptid (år)
2023-04-04;1053;2.68;1005;375;15.99
2023-04-04;1056;2.67;3000;1125;9.16
2023-04-21;1056;5.21;3910;750;9.11
2023-04-21;1061;5.47;4101;750;5.85
2023-05-05;1060;4.33;3250;750;5.02
2023-05-05;1062;5.06;3796;750;8.02
2023-05-17;1053;6.04;4531;750;15.87
2023-05-17;1061;7.7;5772;750;5.78
2023-06-02;1053;2.71;2035;750;15.83
2023-06-02;1062;5.3;3977;750;7.94
2023-06-16;1060;3.26;2445;750;4.91
2023-06-16;1061;3.13;2350;750;5.69
2023-09-08;1053;3.91;1955;500;16.27
2023-09-08;1061;2.77;2216;800;6.18
2023-09-08;1062;4.01;3205;800;7.68
2023-09-22;1053;4.77;2385;500;16.23
2023-09-22;1056;4.25;3400;800;8.69
2023-09-22;1060;3.12;2500;800;4.64
2023-10-06;1053;2.73;2455;900;16.19
2023-10-06;1061;4.35;4346;1000;6.1
2023-10-06;1063;3.75;750;200;22.13
2023-10-20;1056;7.43;2230;300;8.61
2023-10-20;1061;3.22;2900;900;6.06
2023-10-20;1062;3.94;3550;900;8.27
2023-11-02;1056;4.83;4350;900;9.29
2023-11-02;1062;4.06;3650;900;8.24
2023-11-02;1063;2.33;700;300;22.06
2023-11-17;1061;2.53;3800;1500;5.99
2023-11-17;1062;3.92;2350;600;8.2
2023-12-01;1053;4.15;4560;1100;16.04
2023-12-01;1060;3.92;3925;1000;5.16
2023-12-15;1053;5.66;3965;700;16.0
2023-12-15;1061;4.83;3380;700;5.91
2023-12-15;1062;4.37;3060;700;8.12
2024-01-12;1053;6.13;3066;500;15.22
2024-01-12;1056;7.94;3970;500;7.68
2024-01-12;1061;5.66;6231;1100;5.12
2024-01-26;1056;5.29;3700;700;7.64
2024-01-26;1060;2.86;2000;700;4.29
2024-01-26;1062;3.79;2650;700;7.29
2024-02-09;1053;4.52;4069;900;15.14
2024-02-09;1060;3.78;3400;900;4.26
2024-02-09;1062;3.78;3400;900;7.26
2024-02-23;1056;3.48;4170;1200;8.27
2024-02-23;1061;3.12;3750;1200;5.01
2024-02-23;1063;3.2;1920;600;21.04
2024-03-08;1053;4.84;4360;900;15.06
2024-03-08;1060;3.89;3500;900;4.18
2024-03-08;1062;3.89;3500;900;7.18
2024-03-22;1056;3.25;3250;1000;8.19
2024-03-22;1059;5.3;5300;1000;1.93
2024-03-22;1061;3.1;3100;1000;4.93
2024-04-05;1053;6.11;5496;900;14.99
2024-04-05;1060;2.56;2300;900;4.1
2024-04-05;1062;3.22;2900;900;7.1
2024-04-19;1056;4.9;4900;1000;8.12
2024-04-19;1060;3.35;3350;1000;4.06
2024-04-19;1062;3.8;3800;1000;7.06
2024-05-03;1059;3.1;3100;1000;1.81
2024-05-03;1063;3.88;3492;900;20.85
2024-05-17;1060;3.75;3750;1000;3.99
2024-05-17;1061;4.51;4060;900;4.78
2024-05-31;1056;3.56;3200;900;8.0
2024-05-31;1059;4.45;4450;1000;1.74
2024-06-14;1053;4.85;2425;500;14.79
2024-06-14;1060;2.8;2800;1000;3.91
2024-06-14;1061;3.1;4650;1500;4.7
2024-06-28;1053;3.74;2616;700;14.76
2024-06-28;1060;2.3;2300;1000;3.87
2024-06-28;1062;3.15;3150;1000;6.87
2024-09-06;1060;1.88;3750;2000;3.68
2024-09-06;1062;2.75;2750;1000;6.68
2024-09-20;1056;1.88;2250;1200;7.7
2024-09-20;1061;3.62;2715;750;5.14
2024-10-04;1053;2.17;2170;1000;15.2
2024-10-04;1059;2.68;5357;2000;2.11
2024-10-18;1056;1.95;2335;1200;7.62
2024-10-18;1061;1.6;2400;1500;5.07
2024-11-15;1060;3.62;3620;1000;4.2
2024-11-15;1062;3.37;3370;1000;7.2
2024-11-15;1063;4.31;4310;1000;21.02
2024-11-29;1053;3.05;4575;1500;15.05
2024-11-29;1061;4.68;5615;1200;4.95
2024-12-10;1056;2.73;3740;1370;8.19
2024-12-10;1059;1.0;575;575;1.92
2024-12-10;1063;2.8;2795;1000;20.96
2024-12-13;1053;4.46;4460;1000;15.01
