Datum;Lån;Bid-to-cover;Budvolym (Mkr);Tilldelad volym (Mkr);Löptid (år)
2023-04-14;3104;2.6;130;50;4.92
2023-04-14;3111;1.78;355;200;9.13
2023-04-28;3111;7.17;1075;150;9.09
2023-04-28;3114;5.5;550;100;7.09
2023-05-12;3104;4.75;475;100;4.84
2023-05-12;3113;5.83;875;150;3.84
2023-05-26;3111;3.5;350;100;9.01
2023-05-26;3114;4.0;600;150;7.01
2023-06-09;3104;2.46;246;100;4.77
2023-06-09;3114;2.53;380;150;6.98
2023-06-30;3104;2.27;340;150;4.71
2023-06-30;3114;3.05;305;100;6.92
2023-09-15;3104;1.73;260;150;5.21
2023-09-15;3112;3.46;865;250;2.71
2023-09-29;3111;1.18;235;200;8.67
2023-09-29;3114;1.68;210;125;6.67
2023-10-13;3104;2.83;425;150;5.13
2023-10-13;3111;5.14;1285;250;8.63
2023-10-27;3104;1.78;400;225;5.09
2023-10-27;3114;2.71;475;175;6.59
2023-11-10;3104;2.62;525;200;5.06
2023-11-10;3111;2.42;485;200;9.27
2023-11-24;3104;4.53;1810;400;5.02
2023-12-08;3113;2.6;780;300;3.98
2023-12-08;3114;2.07;620;300;7.19
2023-12-19;3113;4.47;895;200;3.95
2024-01-19;3104;1.9;760;400;4.16
2024-01-19;3111;2.6;1040;400;7.66
2024-02-02;3113;3.38;675;200;3.12
2024-02-02;3114;2.48;310;125;6.33
2024-02-16;3111;5.35;1070;200;8.29
2024-02-16;3113;4.95;990;200;3.08
2024-03-01;3104;3.5;700;200;4.04
2024-03-01;3113;3.75;750;200;3.04
2024-03-15;3104;4.78;955;200;4.0
2024-03-15;3113;4.62;925;200;3.0
2024-04-12;3104;3.95;790;200;3.92
2024-04-12;3114;5.6;1120;200;6.14
2024-04-26;3104;2.56;1025;400;3.89
2024-05-10;3104;2.25;450;200;3.85
2024-05-10;3113;3.83;766;200;2.85
2024-05-24;3104;2.25;450;200;3.81
2024-05-24;3111;2.75;550;200;8.02
2024-06-07;3113;1.74;695;400;2.77
2024-09-13;3104;3.45;690;200;4.22
2024-09-13;3114;3.88;775;200;5.72
2024-09-27;3111;6.5;1301;200;7.68
2024-09-27;3113;4.35;870;200;3.18
2024-10-11;3104;4.5;900;200;4.14
2024-10-11;3111;7.24;1447;200;7.64
2024-10-25;3104;3.6;720;200;4.1
2024-10-25;3114;4.44;888;200;5.6
2024-11-08;3113;5.05;1010;200;3.06
2024-11-08;3114;4.0;800;200;6.28
2024-11-22;3104;3.55;710;200;4.03
2024-11-22;3113;4.3;860;200;3.02
2024-12-06;3104;2.41;965;400;3.99
2024-12-06;3111;1.65;660;400;8.2
2025-01-17;3104;2.8;560;200;3.16
2025-01-17;3111;3.6;720;200;6.66
2025-01-31;3113;2.68;535;200;2.12
2025-01-31;3114;2.33;465;200;4.62
2025-02-14;3113;3.75;750;200;2.09
2025-02-14;3114;2.88;575;200;5.3
2025-02-28;3111;1.3;260;200;7.26
2025-02-28;3113;4.75;950;200;2.05
2025-03-14;3104;5.03;1005;200;3.0
2025-03-14;3114;7.75;1550;200;5.21
2025-03-28;3104;2.5;500;200;2.96
2025-03-28;3113;4.5;900;200;1.96
2025-04-11;3113;2.79;1728;620;1.93
2025-04-11;3114;5.38;430;80;5.14
2025-04-11;3115;2.2;220;100;14.14
2025-05-09;3104;3.42;685;200;2.85
2025-05-09;3111;3.42;685;200;7.06
2025-05-23;3111;4.28;855;200;7.02
2025-05-23;3114;4.28;855;200;5.02
2025-06-13;3113;3.5;1400;400;1.76
2025-06-13;3114;4.0;1600;400;4.97
2025-09-12;3104;2.25;450;200;3.22
2025-09-12;3111;3.95;790;200;6.72
2025-09-26;3111;4.55;910;200;6.68
2025-09-26;3114;4.55;910;200;4.68
2025-10-10;3104;2.08;415;200;3.14
2025-10-10;3111;4.45;890;200;6.64
2025-10-24;3114;1.8;720;400;4.6
2025-11-07;3104;3.73;205;55;3.07
2025-11-07;3111;2.38;475;200;7.28
2025-11-21;3111;1.81;490;270;7.24
2025-11-21;3113;4.04;525;130;2.03
2025-12-05;3114;1.21;230;190;5.2
2026-01-16;3111;1.62;650;400;5.66
2026-01-30;3113;4.1;820;200;1.12
2026-01-30;3114;5.95;1190;200;3.62
2026-02-13;3104;2.08;415;200;2.09
2026-02-13;3114;3.75;750;200;4.3
2026-02-27;3104;3.2;640;200;2.05
2026-02-27;3111;3.1;620;200;6.26
